text,label,source,sentimiento_tabularis,calificacion_nlp_bert,sentimiento_robertuito
"- Amor, ¿vamos a ver la vida secreta de tus muscotas? - Hoy no puedo BB - No tienes dinero no? - No - Misio de mierda.",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user @user mi profesor de instituto dice que he suavizado mucho el lenguaje. Con 16 años era más poético,positive,intertass_2017,Positivo,Neutral,Positivo
@user Jajaja Y al séptimo día descansó (?) Que mal mae Lo siento,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user los palitos no son bonitos, los puntos sí #sutileza",neutral,intertass_2017,Negativo,Negativo,Neutral
Cada vez que veo a esa muchacha está más guapa,positive,intertass_2017,Positivo,Negativo,Positivo
@user en España comemos (tragamos) de todo y con tod aquí esta trayectoria política parece normal. Saludos,negative,intertass_2017,Neutral,Muy Negativo,Negativo
2da semana de talleres de naturaleza!! que nuevos retos vendran??,neutral,intertass_2017,Neutral,Neutral,Positivo
@user bueno felicidades por el millon de crack que hay en el canal !! soy un suscriptor ya un poco antiguo a por mas DE PERU,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
tio pero cuando dawn dispara a beth y daryl la dispara a ella inmediatamente y se pone a llorar,negative,intertass_2017,Neutral,Neutral,Negativo
@user @user no tengo catálogo de modelos de polvos azules amiga,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user Efectos prácticos. Aprovechar el desorden del rival. Lo hacemos todos,positive,intertass_2017,Muy Positivo,Positivo,Neutral
La lluvia definitivo no me tiene piedad cuando ando en bus,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Lo bueno que mñn acaba sus finales,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Feliz por las salvadas por el público y la salvada por el jurado canta dms bien pero la veo como solista, Aimee era más para #LaBanda",positive,intertass_2017,Neutral,Neutral,Positivo
Cómo me desean feliz navidad si trabajo en 3 horas (?),negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
em diez días hace dos años desde que elsa tenia el pelo rapado por un lado,neutral,intertass_2017,Muy Negativo,Muy Positivo,Neutral
"@user A mí me haces un favor, encantado  @user",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user Pobre   Pues aquí me va, atendiendo llamadas en la portería del colegio cual recepcionista telefónico",negative,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"Queda claro que yo solo vivo para viajar~ No necesito casas ni propiedades, solo necesito boletos de avión y mi mapita",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"No me niegues, Señor, tu misericordia; que siempre me protejan tu amor y tu verdad. Salmos 40:11 Buen día a todos",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
dios acabo de recoger mis libros pa segundo de bachillerato y el de historia de españa y el de geografía son jodidamente gordos,negative,intertass_2017,Positivo,Muy Positivo,Negativo
Ya cambiaron al modelo d Paco Rabane. el que estaba antes era un muñequito yico.,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user pues no, algunos lunes son maravillosos...por ejemplo el de hoy! 😜 Hasta mañana!",positive,intertass_2017,Neutral,Neutral,Positivo
"@user Bueno, al Atleti 2014/15 Juve Olympiacos Malmo, 2015/16 Benfica Galatasaray Astana. Ya tocaba un año serio eh...",negative,intertass_2017,Neutral,Muy Negativo,Neutral
"@user ay, ayer cuando lo publicaron y lo vi me entró un sentimiento más grande por dentro...",neutral,intertass_2017,Neutral,Negativo,Neutral
"@user @user @user @user  ""la Temporada"" era muy prestigiosa. Recuerdo leer las crónicas en las revistas españolas.",positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Oye, me tenéis un poco abandonada  http",negative,intertass_2017,Negativo,Neutral,Negativo
"Decidme que al final de la gala diréis , QUE COMIENCEN LOS JUEGOS DEL HAMBRE! que al final solo quedará uno  #Gala1GH17",neutral,intertass_2017,Muy Positivo,Muy Negativo,Neutral
"@user Los más buenazos, son los medio gruesitos y cortados de forma vertical. Según yo.",positive,intertass_2017,Neutral,Negativo,Positivo
"@user Pasa el link de la mas interesante please, por no ver 5 veces lo mismo",negative,intertass_2017,Positivo,Neutral,Neutral
@user @user @user vi ese video hace un tiempo me pareció chevere . Pero no me gusta la canción,neutral,intertass_2017,Negativo,Negativo,Neutral
Hoy pasaremos una hermosa tarde con ellos #ShowNavidad #CasaHogarMamáVictoria,positive,intertass_2017,Neutral,Muy Positivo,Positivo
Mis anteojos están demasiado flojos y eso que tienen meses de comprados,negative,intertass_2017,Negativo,Negativo,Negativo
"La profesora se pregunta qué pasa con la segurdad jurídica, y yo solo sigo pensando en qué culpa tuvo Fatmagul",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Mi bebé primero reniega porque tiene hambre, y cuando ya comió un montón, reniega porque está muy llena. La más linda es",positive,intertass_2017,Positivo,Negativo,Positivo
@user tanto tiempo siguiéndote y leyendo las cosas bonitas q ponías y ahora ya no me dejas?,negative,intertass_2017,Positivo,Muy Positivo,Negativo
@user @user cualquiera diría que estamos deseando pasar frío,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Que dicha que me vale todo lo que todo el mundo diga,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar  Mi vida.",negative,intertass_2017,Negativo,Muy Negativo,Negativo
Necesito urgente entrar a la gimnasia y al gimnasioo,neutral,intertass_2017,Neutral,Neutral,Neutral
Hostia pero si en 15 minutos estreno canal!!!! OMG! El Almacén de Juegos. Bienvenidos jugadores,positive,intertass_2017,Muy Positivo,Neutral,Positivo
"@user @user @user Mas bien, penoso desconocimiento diversas realidades del Perú. Ahora anda preocupada x el clásico(!?)",negative,intertass_2017,Neutral,Negativo,Negativo
Ya estuviera re descontrolado jajajajja,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user, muchas gracias. La verdad es que lo tienen fácil para acertar",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Pobre pablo  es que soy yo,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user yo solo quiero hacerte trencitas,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user @user Pellegrino ha dotado al equipo una gran consistencia defensiva. Y buenos fichajes,positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user soy un hombre OCUPADO que no puede estar pendiente de estas cosas,negative,intertass_2017,Muy Negativo,Muy Negativo,Neutral
Quiero una caldosa y un granizado.,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
"@user Pero la verdad es que en general no voy mal de motivación... casi al revés, me sobra motivación (y ego",positive,intertass_2017,Neutral,Neutral,Neutral
@user @user Eso toca mañana. Hoy me sentía incapaz,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Desde hoy haré mejor las cosas,neutral,intertass_2017,Positivo,Muy Positivo,Positivo
"@user eso mae!!! Que bueno que te gustó el concierto, me alegra mucho!! A mí también me hacía falta tocar esas piezas!!",positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
@user @user @user No puedo ver esas mariconadas.,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
El quinto día #cousins #Holidays @ Previos Restobar-Pub,neutral,intertass_2017,Neutral,Muy Positivo,Neutral
@user pues eliges bien lo poco que ves entonces querido amigo,positive,intertass_2017,Positivo,Muy Positivo,Neutral
tengo un porrito ya liado.. pero no se para cuando,negative,intertass_2017,Neutral,Negativo,Neutral
"Yo sólo ame, y Di todo d mi..... aunque no soy perfecta, solo tengo un corazón sincero, una mente que te piensa a cada momento. pitufo",neutral,intertass_2017,Muy Positivo,Negativo,Positivo
Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,positive,intertass_2017,Positivo,Neutral,Positivo
a mi mejor amiga no le gusta el ceviche ni los makis y me siento frustrada porque no podemos ser BUENAS mejores amigas,negative,intertass_2017,Negativo,Negativo,Negativo
A pesar de todo...veo sorpresa en el Bernabéu...llamadme loca,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user ..pero, vamos, yo con cualquier cosica..unos huevos fritos son un manjar (siempre que haya pan para mojar, claro",positive,intertass_2017,Neutral,Muy Negativo,Positivo
Lo peor que puede existir es decepcionar a alguien que quieres,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user jajajaja este es un plato del restauran de mi casa, cuando quieras tienes tu descuento familiar",neutral,intertass_2017,Positivo,Muy Positivo,Neutral
Me hace sentir tan bien al ver a mi ex y no sentir absolutamente nada por el,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"Me voy a las 6 a Madrid y me esperan 6 horitas en un autobus, seguramnete lleno de gente, porque mi suerte funciona así",negative,intertass_2017,Positivo,Neutral,Negativo
Por qué un partido a las 10 a.m.,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
¡Ya tenemos ganadora! Felicidades @user Nos hablamos por mensaje. ¡Gracias a todos por participar!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user no seas malo con él,negative,intertass_2017,Neutral,Muy Positivo,Negativo
El huevin respectivo debido al feriado...vao a meter una caminata mas sus chelitas para al menos ver que hay abierto en la calle.,neutral,intertass_2017,Negativo,Muy Negativo,Neutral
"Por cosas así, estoy segura de que tomé una muy buena decisión",positive,intertass_2017,Muy Positivo,Positivo,Positivo
"NUNCA dejen el Snapchat abierto en el celular de la mamá, creo hoy duermo en la calle",negative,intertass_2017,Positivo,Muy Positivo,Negativo
@user para mí no son feas  hay feas y bonitas    te salvas de arder en el infierno por hetero,neutral,intertass_2017,Positivo,Muy Negativo,Negativo
"@user siempre habrá algo amiga, pero con el tiempo lo superas y pierden importancia",positive,intertass_2017,Neutral,Neutral,Negativo
@user y que el mae no sea tan desastroso como aparentó durante la campaña. Hope is all we have left,negative,intertass_2017,Positivo,Positivo,Negativo
El sábado se casa Adriel y eso me hace sentir super vieja maee cuando ibamos a pueblo viejo x olafos saliamos fuck off y yo era la niñera,neutral,intertass_2017,Muy Positivo,Muy Negativo,Negativo
Amanecí lleno de la comilona anoche en el #BNOpenHouse ...pero siempre hay campo para más . A desayunar,positive,intertass_2017,Neutral,Negativo,Positivo
"#Windows10 qué mal me caes... @user Para abrir cualquier navegador o aplicación es tan lento, torpe e ineficiente que da pavor",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"No es feriado el 26 de dic ni el 2 de enero, entonces mremod fútbol sábado y domingo",neutral,intertass_2017,Negativo,Muy Negativo,Neutral
"@user @user @user Gracias, lo único que me hace feliz es escuchar música, adivinar y ganar",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Como cuando estás súper triste y pones un playlist de Camila y Ha Ash . Los de la agencia se van a deprimir,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Digo yo que tengo mala memoria y mi vecino se ha tatuado el nombre de su mujer,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user cuando lo veo siempre le digo que en Twitter gusta a muchos!  Ojalá accederia porque para Dani sería muy bueno,positive,intertass_2017,Muy Positivo,Positivo,Positivo
Primera vez que David cena en mi casa y quiebra un vaso.,negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
@user me siento triste amiga,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user claro que sí, París merece mil visitas",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"No vuelvo a New York, esa pea fue muy maldita y mi chaqueta",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user yo quería que me dieran la bcr así,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
"El puente mas bonito de la constitución este año en Alicante 12,13 y 14 @user en directo y allí estaré",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"11.46PM y tengo hambre, mejor me acuesto ya por que la panadería está cerrada",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user poco pero intenso  estoy por pirarme un día a sevilla con el Mario,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user @user Un lapsus advertido gracias a @user y subsanado. Gracias por tu aportación.,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user no lo consigo  ayudame porfi que es super importante,negative,intertass_2017,Positivo,Muy Negativo,Neutral
@user No se si están editados.,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user Correcto! Es pura arte. Mejor no lo pudiste describir. Felicidades!!! Bendiciones!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user @user Por desgracia vende más  ,riñas,trifulcas,peleas,al cuello!! mátalo!!",negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
@user Lo mejor para el es que salga del Club Zidane no le da la Oportunidad de Jugar! A mi no me gusta que este en la Banca.,neutral,intertass_2017,Positivo,Muy Negativo,Negativo
@user es la feria de mi tierra  Solo espero que sea un éxito y ser un gran anfitrión,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"No, no. Ya no te quiero, me declaro soltera a partir de ahora, me has hecho daño  @user",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user hombre!  Yo siempre y con la gente que me cae bien claro, con los que me caen mal ni agua  Muacc",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
Plan perfecto para terminar el fin de semana. @user - @user. Después @user - @user,positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user ya ya pero aún así no me convenció,negative,intertass_2017,Neutral,Negativo,Negativo
Vine a mi casa porque mis papás dicen que los tengo abandonados y me chantajearon con comida pero hoy iba para la playa en la noche,neutral,intertass_2017,Muy Negativo,Muy Positivo,Negativo
Hoy recibí una buena noticia y llevo saltando de la emoción como 30 minutos.,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Mar Negro q se haya caído un avión lleno de músicos, médicos q enviaron para alegrar a la gente en Siria me deja +segura q no existe dios",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user las etiquetas son necesarias. Lxs locxs molamos. Si no quieres etiquetas no molas  LOOOOCAAAA jajajajaj,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"¡Venga va! A ver si consigo la versión física, que vista en tienda parece magnífica  @user  #DinastíaDelDienteDeLeón",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
¿por qué os empeñáis en que no soy española?,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"Amiguitos, yo siempre hablo/escribo de la misma forma, soy bastante cariñoso ... no te estoy gileando, ni quiero algo contigo, sí?",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
"Me vengo dando cuenta que sí... el gordo navideño y yo siempre sí... regalo de santa, por despistada? marchamo y regalos pagados #gracias",positive,intertass_2017,Positivo,Muy Negativo,Negativo
Hay videos que no se envían porque no tengo espacio en el móvil así que lo siento,negative,intertass_2017,Negativo,Muy Negativo,Negativo
"@user @user El tuit va acompañado de una foto que quiere decir lo contrario, SÍ es sarcasmo",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"@user ay tan lindo amigo!! Gracias. Espero que jueguen con rencor, porque se hacen imparables cuando están resentidos",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Tan triste mi vida que me hablan en Snapchat solo para decirme que mis animales son lindos,negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"A recuperar la resistencia física, hola Viernes sangriento!!!",neutral,intertass_2017,Muy Positivo,Muy Positivo,Neutral
@user siiiiii tío  el viernes te invito a una litro jurao,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
@user jajaja ya ves teneis algo encontra mia  espero que la proxima vez sea de vuestro equipo 😂,negative,intertass_2017,Positivo,Muy Negativo,Negativo
@user Y suuuuper diferente a sus trabajos anteriores! Tengo que comprarlo tho porque no esta disponible en apple music,neutral,intertass_2017,Positivo,Muy Negativo,Neutral
#DiaDelVideojuegoHC por todas esas grandes tardes que nos hacen pasar y las que pasaran!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Ya no es por bonito o por feo sino porque es un animal con sentimientos tía es horrible,negative,intertass_2017,Neutral,Muy Negativo,Negativo
@user Feliz Año Bella! Las mejores vibras,neutral,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user esa vidilla universitaria que tiene lo hace muy especial y que bien se come cerquita de los canales  #SaltaconHolanda,positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user pero es muy trillado,negative,intertass_2017,Muy Negativo,Neutral,Negativo
@user tenía pensado cuando me quitase este ponerme unos de kpop  a la siguiente contigo lindo,neutral,intertass_2017,Negativo,Muy Negativo,Neutral
"Acabo de comprobar en Linkedin  si eras mi antiguo alumno, tengo un gran recuerdo @user  Te deseo lo mejor @user",positive,intertass_2017,Positivo,Muy Positivo,Positivo
Me he puesto nervioso por la función de mañana. Y si me da una laguna mental??? Mierda ahora no puedo dejar de pensar en eso,negative,intertass_2017,Muy Negativo,Negativo,Negativo
@user @user Ufff... hay una discusión enorme sobre esto. La Clínica Mayo dejó de hacerlas por años por los resultados,neutral,intertass_2017,Muy Negativo,Negativo,Neutral
"No se cuantas veces la abre escuchado, pero no me canso de hacerlo y es que suena tan bien juntos @user  http",positive,intertass_2017,Neutral,Positivo,Positivo
"@user hoy me he gastado 90 euros en LEGOs, así que los maletines van regular",negative,intertass_2017,Negativo,Muy Negativo,Neutral
"@user llévame a tu casa, la otra vez blastoise y hoy dragonite",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
@user retiro mi calificativo ofensivo hacia @user Su gesto de hoy me ha parecido valiente...  contamos con todos.,positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
Hay algunos shojos de comedia romántica que me gustaría que se centraran un poco más en lo romántico,negative,intertass_2017,Positivo,Neutral,Positivo
Yo ya estoy con gripe y ni me he mojado,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user el pueblo crema está feliz con lo de Vento!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
hoy ha sido ver a un perro muerto en el anden izdo. de la autopista huelva-sevilla y entrarme toda la impotencia del mundo,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user A mi Movistar me llama para preguntarme si estoy satisfecho con mi servicio y si hay algo que puede hacer por mi,neutral,intertass_2017,Neutral,Neutral,Neutral
"@user Buen artículo Carlos , se va Lucas pero tampoco hay que dramatizar , casi me haces llorar",positive,intertass_2017,Neutral,Neutral,Negativo
"Vanessa ¿donde estas? te extraño mucho, ya va ser navidad y necesito verte",negative,intertass_2017,Muy Positivo,Muy Positivo,Negativo
"1 y 2 correctas. 3, ni una.   http",neutral,intertass_2017,Neutral,Neutral,Neutral
Ustedes siempre han sido lo más bonito de mi año. Anita y Amaya,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user @user al menos ya va ir preso, el tuyo sigue feliz de la vida plagiando textos",negative,intertass_2017,Positivo,Muy Negativo,Negativo
@user @user @user convenciendo a mi hija mayor para verlo,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
@user Bonito rincón  ¡Qué ganas de ver la nueva web!,positive,intertass_2017,Positivo,Muy Positivo,Positivo
@user yo no soy normal,negative,intertass_2017,Neutral,Muy Negativo,Negativo
"@user es que ya no era necesario llamar ,ya sabiamos lo que espera ,la proxima sera",neutral,intertass_2017,Neutral,Neutral,Neutral
Que agusto se queda una después del Circuito termolúdico de  @user,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
Tenía más de un año de no usar Premiere Pro y no era tan mala editando... ahora lo olvidé todo,negative,intertass_2017,Negativo,Muy Negativo,Negativo
Cuando te enamoras de cada flaca que pasa. Chimbote era chevere pero no me quirro ir de trujillo.,neutral,intertass_2017,Negativo,Muy Negativo,Neutral
"Pues ya es oficial, curro nuevo y mejor",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Tengo dos orzuelos enquistados en el ojo izquierdo y me hacen la cara muy asimétrica. Me veo raro,negative,intertass_2017,Positivo,Negativo,Negativo
"@user lo de la comida le quita toda la parte negativa entonces, buenaso. Gracias!! Que te vaya super bien en tus finales",neutral,intertass_2017,Positivo,Muy Negativo,Positivo
"@user perfecto!  Nada mejor que incitar a lectura. Ya me contarás que tal, es mágico. De esos para ""niños"" que no son para niños",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user Lo mejor son sus amiguitos defendiéndole diciéndome a mí que pase página cuando es él el que no me deja en paz,negative,intertass_2017,Positivo,Muy Positivo,Negativo
@user Ely todo bien? no se nada de ti u.u tengo número nuevo!,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"Si necesitáis un hater profesional de lo que sea, podéis llamar a @user",positive,intertass_2017,Neutral,Muy Negativo,Neutral
@user porque mi equipo G8 se calienta demasiado y la bateria se baja rápido,negative,intertass_2017,Negativo,Negativo,Negativo
"@user Un chivi que hace videos y es más tocándose el cabello que video haciendo ""algo divertido o entretenido"".",neutral,intertass_2017,Positivo,Positivo,Neutral
"@user te tienes que hacer amiga de peluqueros que no estén locos y fuera, tienes don de gentes coñe",positive,intertass_2017,Positivo,Muy Negativo,Neutral
"No entiendo, hasta hace unos días te hablaba lindo, fresh y de la naaada cambian, y tú no hiciste nada #Kheeeeeeeeeé #SacandoConclusiones",negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
@user vamos a juntos en concierto?,neutral,intertass_2017,Neutral,Muy Negativo,Neutral
#FelizMiercoles porque hoy pase lo que pase va ha ser un buen día,positive,intertass_2017,Positivo,Muy Positivo,Positivo
"Como dijo @user, ""hay que ignorar a los trolls"", después de años usé de nuevo el block, el más pesado y bobo que conocí",negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
"@user oh no te la debo negrito, lo lamento, prometo ir al próximo kaos ir desde las 8 pm y guardarte cola",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
"@user @user clado que sí. En serio, gracias por todo lo que nos has enseñado",positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
Me está entrando una depresión ahora mismo... ¿Para cuando la máquina del tiempo? Que me lleve de nuevo al 29 de junio joder,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user i lleva mucho sin actualizar? ahora sucede que me enamoro del fic y lo dejan abandonado,neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
@user @user @user Ay yo no he visto la nueva temporada! Buena sugerencia,positive,intertass_2017,Positivo,Muy Negativo,Neutral
@user Junto montas el unico dia que me llaman para tomar algo,negative,intertass_2017,Positivo,Muy Positivo,Neutral
Mis lunes no volverán a ser iguales @user,neutral,intertass_2017,Negativo,Muy Negativo,Negativo
"@user el canal de ""Global Talents"" suele ser rápido en subir actuaciones, valoraciones, previos, y resultados...",positive,intertass_2017,Neutral,Positivo,Positivo
"@user En vez de perseguir a corruptos y defraudadores, pretenden encarcelar a quienes cuestionan al poder con unos cuentos tuits",negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user no te preocupes ^^ como dije...ELF puede hacer lo que quiera, a mi solo me importa SJ",neutral,intertass_2017,Positivo,Neutral,Neutral
@user Y son más de las 5 de la mañana! Y encima mañana vuelve a ser día de grabación.. todo sea por dejar todo preparado,positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
"@user La burguesía venezolana, los más ricos, animando a la población a colapsar Venezuela con la ""Toma de Caracas""  Triste.",negative,intertass_2017,Muy Positivo,Muy Negativo,Negativo
"@user @user @user invitadísimo a hacer las cosas diferente, hay que involucrarse y dar espacios a la mejor gente.",neutral,intertass_2017,Positivo,Muy Positivo,Positivo
@user Te puedes creer que te iba a poner lo mismo  Te quiero mi Nini,positive,intertass_2017,Positivo,Muy Negativo,Neutral
"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",negative,intertass_2017,Neutral,Negativo,Negativo
"@user @user @user el tiempo promedio para ejercitarse, es de 1hr. Si quieres más tiempo, la alimentación también cambia",neutral,intertass_2017,Neutral,Neutral,Neutral
En fin @user espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,positive,intertass_2017,Muy Positivo,Muy Negativo,Positivo
"Suerte nivel, llame a la pizzeria para pasar por una pizza y llueve cuando deje mis sombrilla perdidas",negative,intertass_2017,Neutral,Muy Positivo,Negativo
¿voy o no voy a cœur de pirate en madrid? es como a la semana siguiente de volver de milán/burdeos,neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
"Gracias a toda la gente que dio RT a mi mensaje de buscar clan. He conseguido ser suplente adc en DragonsZGaminG,con ganas",positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
@user Es muy duro para un niño verse forzado a ser parte de esos procesos,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"@user gracias por etiquetarme, pero no suelo hacer estas cosas",neutral,intertass_2017,Muy Negativo,Muy Negativo,Neutral
#feliz septiembre..es bonito retarse..es increible lo mucho que puedes aprender.. medirse con el obstáculo..eres la joyita de la corona,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user s que habrá terceras elecciones, no que no las habrá... está difícil la predicción",negative,intertass_2017,Negativo,Muy Negativo,Negativo
"@user No te preocupes, pero como hay tanta mala baba en Twitter pensaba que había sido por eso",neutral,intertass_2017,Neutral,Muy Negativo,Negativo
"No, solo quiero bailarte la medusa loca en privado  @user",positive,intertass_2017,Neutral,Muy Negativo,Neutral
"No sé porqué pero ya no me cae para nada, es más me da asquito y antes éramos amigas, aunque creo que ni eso consideraba ella",negative,intertass_2017,Negativo,Negativo,Negativo
@user me regalaron la mediana,neutral,intertass_2017,Positivo,Muy Positivo,Neutral
Ahora que soy @user todo es más bonito.,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
@user en donde vivo no hay alternativas válidas aún… No creas q no lo miré  @user  @user,negative,intertass_2017,Negativo,Muy Negativo,Neutral
"@user de sobra, si solo somos 3  dime tu ID y ya te agrego",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user mi objetivo es seguir aprendiendo. Por dicha uno nunca para de aprender. Por ahí espero seguir asombrándome,positive,intertass_2017,Muy Negativo,Muy Positivo,Positivo
@user yo me las puse y acto seguido me las quite por que no era capaz de desbloquear el móvil ajjajajja,negative,intertass_2017,Positivo,Muy Negativo,Negativo
Vamos Ame vamos....bahhh.....q mas da.....conence el año cansada..... quiero solo dormir hoy....,neutral,intertass_2017,Muy Positivo,Muy Negativo,Negativo
@user Muchas gracias atrasadas!! Esto del Twitter hacia que no lo miraba.... Un abrazoteee!!,positive,intertass_2017,Muy Negativo,Muy Negativo,Positivo
@user dejas al novio y a los dos días ya estas con otro.  Y yo soltero desde el 96. La vida es demasiado injusta conmigo,negative,intertass_2017,Muy Negativo,Muy Negativo,Negativo
"voy a salir a comprar mayolicas y acabados a habich, veamos q sucede en el camino, la gente buena celulares prendidos porfavor, 3, 2 ,1",neutral,intertass_2017,Neutral,Muy Negativo,Neutral
@user Muchísimas gracias por difundir  ¡Un abrazo!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"He visto un Allen Walker en la Expo que uff, menudo cosplay, yo iba de Lena pero sin peluca, quería una puta foto",negative,intertass_2017,Neutral,Negativo,Positivo
"Ya no puedo la broma de ""estoy embarazada"" por el día de los inocentes.",neutral,intertass_2017,Muy Negativo,Muy Negativo,Negativo
Que guay que @user sea nuevo concursante de @user seguro que lo hace genial....Me encanta!!!,positive,intertass_2017,Muy Positivo,Muy Positivo,Positivo
"@user impresionante lo que hizo Alejandra por Dios que feo que se hagan de rogar pa competir, falta de humildad. Vamos rojo.....",negative,intertass_2017,Muy Negativo,Muy Positivo,Negativo
"@user @user De nuevo, encantado. Y a mi tampoco me gustan esos titulares tendenciosos. Pero tampoco los opuestos  Saludos.",neutral,intertass_2017,Neutral,Positivo,Neutral
