ProductKey,Product Code,Product Name,Product Description,Comentario,sentimiento_tabularis,calificacion_nlp_bert
51,104006,WWI 2GB Pulse Smart pen M100 Blue,"Record and link audio to be written, listen to recordings, share notes and recording with computer",Hostia pero si en 15 minutos estreno canal!!!! OMG! El Almacén de Juegos. Bienvenidos jugadores,Muy Positivo,Neutral (3 estrellas)
52,104007,WWI 2GB Pulse Smart pen M100 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer","@user @user @user Mas bien, penoso desconocimiento diversas realidades del Perú. Ahora anda preocupada x el clásico(!?)",Neutral,Negativo (2 estrellas)
53,104008,WWI 4GB Video Recording Pen X200 Black,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Ya estuviera re descontrolado jajajajja,Muy Negativo,Muy Negativo (1 estrella)
54,104009,WWI 4GB Video Recording Pen X200 Red,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording","@user, muchas gracias. La verdad es que lo tienen fácil para acertar",Muy Positivo,Muy Positivo (5 estrellas)
55,104010,WWI 4GB Video Recording Pen X200 Pink,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",Pobre pablo  es que soy yo,Muy Negativo,Muy Negativo (1 estrella)
2381,807034,Contoso Air conditioner 6000BTU E0180 Blue,"6,000-BTU air conditioner for rooms up to 180 square feet",@user yo solo quiero hacerte trencitas,Muy Negativo,Muy Negativo (1 estrella)
2382,807035,Contoso Air conditioner 5200BTU E0100 Blue,"5,200-BTU air conditioner for rooms up to 100 square feet",@user @user Pellegrino ha dotado al equipo una gran consistencia defensiva. Y buenos fichajes,Positivo,Muy Positivo (5 estrellas)
2383,807036,Proseware Air conditioner 25000BTU L167 White,"25,000-BTU air conditioner for large rooms up to 1672 square feet",@user soy un hombre OCUPADO que no puede estar pendiente de estas cosas,Muy Negativo,Muy Negativo (1 estrella)
2384,807037,Proseware Air conditioner 12000BTU M640 White,"12,000-BTU air conditioner for rooms up to 640 square feet",Quiero una caldosa y un granizado.,Positivo,Muy Positivo (5 estrellas)
2385,807038,Proseware Air conditioner 10000BTU M490 White,"10,000-BTU air conditioner for rooms up to 490 square feet","@user Pero la verdad es que en general no voy mal de motivación... casi al revés, me sobra motivación (y ego",Neutral,Neutral (3 estrellas)
2386,807039,Proseware Air conditioner 8000BTU M320 White,"8,000-BTU air conditioner for rooms up to 320 square feet",@user @user Eso toca mañana. Hoy me sentía incapaz,Muy Negativo,Muy Negativo (1 estrella)
2387,807040,Proseware Air conditioner 7000BTU E260 White,"7,000-BTU air conditioner for rooms up to 260 square feet",Desde hoy haré mejor las cosas,Positivo,Muy Positivo (5 estrellas)
2388,807041,Proseware Air conditioner 6000BTU E180 White,"6,000-BTU air conditioner for rooms up to 180 square feet","@user eso mae!!! Que bueno que te gustó el concierto, me alegra mucho!! A mí también me hacía falta tocar esas piezas!!",Muy Positivo,Muy Negativo (1 estrella)
2389,807042,Proseware Air conditioner 5200BTU E100 White,"5,200-BTU air conditioner for rooms up to 100 square feet",@user @user @user No puedo ver esas mariconadas.,Muy Negativo,Muy Negativo (1 estrella)
2390,807043,Proseware Air conditioner 25000BTU L167 Red,"25,000-BTU air conditioner for large rooms up to 1672 square feet",El quinto día #cousins #Holidays @ Previos Restobar-Pub,Neutral,Muy Positivo (5 estrellas)
2391,807044,Proseware Air conditioner 12000BTU M640 Red,"12,000-BTU air conditioner for rooms up to 640 square feet",@user pues eliges bien lo poco que ves entonces querido amigo,Positivo,Muy Positivo (5 estrellas)
2392,807045,Proseware Air conditioner 10000BTU M490 Red,"10,000-BTU air conditioner for rooms up to 490 square feet",tengo un porrito ya liado.. pero no se para cuando,Neutral,Negativo (2 estrellas)
2393,807046,Proseware Air conditioner 8000BTU M320 Red,"8,000-BTU air conditioner for rooms up to 320 square feet","Yo sólo ame, y Di todo d mi..... aunque no soy perfecta, solo tengo un corazón sincero, una mente que te piensa a cada momento. pitufo",Muy Positivo,Negativo (2 estrellas)
2394,807047,Proseware Air conditioner 7000BTU E260 Red,"7,000-BTU air conditioner for rooms up to 260 square feet",Se viene algo bueno #Navidad #Imelda #Tronconavideño #Fresas #frambuesas #blueberries @ Imelda,Positivo,Neutral (3 estrellas)
2395,807048,Proseware Air conditioner 6000BTU E180 Red,"6,000-BTU air conditioner for rooms up to 180 square feet",a mi mejor amiga no le gusta el ceviche ni los makis y me siento frustrada porque no podemos ser BUENAS mejores amigas,Negativo,Negativo (2 estrellas)
2396,807049,Proseware Air conditioner 5200BTU E100 Red,"5,200-BTU air conditioner for rooms up to 100 square feet",A pesar de todo...veo sorpresa en el Bernabéu...llamadme loca,Muy Negativo,Muy Negativo (1 estrella)
2397,807050,Proseware Air conditioner 25000BTU L167 Silver,"25,000-BTU air conditioner for large rooms up to 1672 square feet","@user ..pero, vamos, yo con cualquier cosica..unos huevos fritos son un manjar (siempre que haya pan para mojar, claro",Neutral,Muy Negativo (1 estrella)
2398,807051,Proseware Air conditioner 12000BTU M640 Silver,"12,000-BTU air conditioner for rooms up to 640 square feet",Lo peor que puede existir es decepcionar a alguien que quieres,Muy Negativo,Muy Negativo (1 estrella)
2399,807052,Proseware Air conditioner 10000BTU M490 Silver,"10,000-BTU air conditioner for rooms up to 490 square feet","@user jajajaja este es un plato del restauran de mi casa, cuando quieras tienes tu descuento familiar",Positivo,Muy Positivo (5 estrellas)
2400,807053,Proseware Air conditioner 8000BTU M320 Silver,"8,000-BTU air conditioner for rooms up to 320 square feet",Me hace sentir tan bien al ver a mi ex y no sentir absolutamente nada por el,Muy Positivo,Muy Positivo (5 estrellas)
2401,807054,Proseware Air conditioner 7000BTU E260 Silver,"7,000-BTU air conditioner for rooms up to 260 square feet","Me voy a las 6 a Madrid y me esperan 6 horitas en un autobus, seguramnete lleno de gente, porque mi suerte funciona así",Positivo,Neutral (3 estrellas)
2402,807055,Proseware Air conditioner 6000BTU E180 Silver,"6,000-BTU air conditioner for rooms up to 180 square feet",Por qué un partido a las 10 a.m.,Muy Negativo,Muy Negativo (1 estrella)
2403,807056,Proseware Air conditioner 5200BTU E100 Silver,"5,200-BTU air conditioner for rooms up to 100 square feet",¡Ya tenemos ganadora! Felicidades @user Nos hablamos por mensaje. ¡Gracias a todos por participar!,Muy Positivo,Muy Positivo (5 estrellas)
2404,807057,Proseware Air conditioner 25000BTU L167 Grey,"25,000-BTU air conditioner for large rooms up to 1672 square feet",@user no seas malo con él,Neutral,Muy Positivo (5 estrellas)
2405,807058,Proseware Air conditioner 12000BTU M640 Grey,"12,000-BTU air conditioner for rooms up to 640 square feet",El huevin respectivo debido al feriado...vao a meter una caminata mas sus chelitas para al menos ver que hay abierto en la calle.,Negativo,Muy Negativo (1 estrella)
2406,807059,Proseware Air conditioner 10000BTU M490 Grey,"10,000-BTU air conditioner for rooms up to 490 square feet","Por cosas así, estoy segura de que tomé una muy buena decisión",Muy Positivo,Positivo (4 estrellas)
2407,807060,Proseware Air conditioner 8000BTU M320 Grey,"8,000-BTU air conditioner for rooms up to 320 square feet","NUNCA dejen el Snapchat abierto en el celular de la mamá, creo hoy duermo en la calle",Positivo,Muy Positivo (5 estrellas)
2408,807061,Proseware Air conditioner 7000BTU E260 Grey,"7,000-BTU air conditioner for rooms up to 260 square feet",@user para mí no son feas  hay feas y bonitas    te salvas de arder en el infierno por hetero,Positivo,Muy Negativo (1 estrella)
2409,807062,Proseware Air conditioner 6000BTU E180 Grey,"6,000-BTU air conditioner for rooms up to 180 square feet","@user siempre habrá algo amiga, pero con el tiempo lo superas y pierden importancia",Neutral,Neutral (3 estrellas)
2410,808001,Litware 3-Speed Oscillating High-Performance Fan E201 Black,Powerful 3-speed fan provides whisper-quiet operation,@user y que el mae no sea tan desastroso como aparentó durante la campaña. Hope is all we have left,Positivo,Positivo (4 estrellas)
2411,808002,Litware 3-Speed Oscillating High-Performance Fan E201 White,Powerful 3-speed fan provides whisper-quiet operation,El sábado se casa Adriel y eso me hace sentir super vieja maee cuando ibamos a pueblo viejo x olafos saliamos fuck off y yo era la niñera,Muy Positivo,Muy Negativo (1 estrella)
2412,808003,Litware 3-Speed Oscillating High-Performance Fan E201 Silver,Powerful 3-speed fan provides whisper-quiet operation,Amanecí lleno de la comilona anoche en el #BNOpenHouse ...pero siempre hay campo para más . A desayunar,Neutral,Negativo (2 estrellas)
2413,808004,Litware 18'' Adjustable Oscillating Pedestal Fan E301 Black,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling","#Windows10 qué mal me caes... @user Para abrir cualquier navegador o aplicación es tan lento, torpe e ineficiente que da pavor",Muy Negativo,Muy Negativo (1 estrella)
2414,808005,Litware 18'' Adjustable Oscillating Pedestal Fan E301 White,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling","No es feriado el 26 de dic ni el 2 de enero, entonces mremod fútbol sábado y domingo",Negativo,Muy Negativo (1 estrella)
2415,808006,Litware 18'' Adjustable Oscillating Pedestal Fan E301 Silver,"18-inch pedestal fan provides 3 whisper-quiet speeds, 90-degree oscillation or stationary cooling","@user @user @user Gracias, lo único que me hace feliz es escuchar música, adivinar y ganar",Muy Positivo,Muy Positivo (5 estrellas)
2416,808007,Litware 3-Speed Oscillating Blower Fan M115 White,"High-velocity blower floor fan in a tall space-saving streamlined design,  ",Como cuando estás súper triste y pones un playlist de Camila y Ha Ash . Los de la agencia se van a deprimir,Muy Negativo,Muy Negativo (1 estrella)
2417,808008,Litware 3-Speed Oscillating Blower Fan M115 Black,"High-velocity blower floor fan in a tall space-saving streamlined design,  ",Digo yo que tengo mala memoria y mi vecino se ha tatuado el nombre de su mujer,Muy Negativo,Muy Negativo (1 estrella)
2418,808009,Litware 3-Speed Oscillating Blower Fan M115 Silver,"High-velocity blower floor fan in a tall space-saving streamlined design,  ",@user @user cuando lo veo siempre le digo que en Twitter gusta a muchos!  Ojalá accederia porque para Dani sería muy bueno,Muy Positivo,Positivo (4 estrellas)
2419,808010,Litware 20'' Box Fan E401 Blue,170-watt 20-inch box fan with 3 whisper-quiet speeds,Primera vez que David cena en mi casa y quiebra un vaso.,Muy Negativo,Muy Positivo (5 estrellas)
2420,808011,Litware 20'' Box Fan E401 Black,170-watt 20-inch box fan with 3 whisper-quiet speeds,@user me siento triste amiga,Muy Negativo,Muy Negativo (1 estrella)
2421,808012,Litware 20'' Box Fan E401 White,170-watt 20-inch box fan with 3 whisper-quiet speeds,"@user claro que sí, París merece mil visitas",Muy Positivo,Muy Positivo (5 estrellas)
2422,808013,Litware 20'' Box Fan E401 Yellow,170-watt 20-inch box fan with 3 whisper-quiet speeds,"No vuelvo a New York, esa pea fue muy maldita y mi chaqueta",Muy Negativo,Muy Negativo (1 estrella)
2423,808014,Litware Tower Fan E501 Black,"Space saving tower design, top mounted control pane",@user yo quería que me dieran la bcr así,Positivo,Muy Negativo (1 estrella)
2424,808015,Litware Tower Fan E501 White,"Space saving tower design, top mounted control pane","El puente mas bonito de la constitución este año en Alicante 12,13 y 14 @user en directo y allí estaré",Muy Positivo,Muy Positivo (5 estrellas)
2425,808016,Litware Tower Fan E501 Yellow,"Space saving tower design, top mounted control pane","11.46PM y tengo hambre, mejor me acuesto ya por que la panadería está cerrada",Muy Negativo,Muy Negativo (1 estrella)
2426,808017,Litware Tower Fan E501 Silver,"Space saving tower design, top mounted control pane",@user poco pero intenso  estoy por pirarme un día a sevilla con el Mario,Neutral,Muy Negativo (1 estrella)
2427,808018,Litware Mobile Fan External USB Cooling Fan E601 Silver,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",@user @user Un lapsus advertido gracias a @user y subsanado. Gracias por tu aportación.,Muy Positivo,Muy Positivo (5 estrellas)
2428,808019,Litware Mobile Fan External USB Cooling Fan E601 White,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",@user no lo consigo  ayudame porfi que es super importante,Positivo,Muy Negativo (1 estrella)
2429,808020,Litware Mobile Fan External USB Cooling Fan E601 Pink,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",@user No se si están editados.,Muy Negativo,Muy Negativo (1 estrella)
2430,808021,Litware Mobile Fan External USB Cooling Fan E601 Black,"80 x 80 x 25 mm, rated Voltage - 5V DC, started Voltage - 4V DC  ",@user Correcto! Es pura arte. Mejor no lo pudiste describir. Felicidades!!! Bendiciones!,Muy Positivo,Muy Positivo (5 estrellas)
2431,808022,"Litware 16"" White Oscillating Stand Fan E701 White","16"" oscillating stand fan","@user @user Por desgracia vende más  ,riñas,trifulcas,peleas,al cuello!! mátalo!!",Muy Positivo,Muy Negativo (1 estrella)
2432,808023,"Litware 16"" White Oscillating Stand Fan E701 Black","16"" oscillating stand fan",@user Lo mejor para el es que salga del Club Zidane no le da la Oportunidad de Jugar! A mi no me gusta que este en la Banca.,Positivo,Muy Negativo (1 estrella)
2433,808024,"Litware 16"" White Oscillating Stand Fan E701 Silver","16"" oscillating stand fan",@user es la feria de mi tierra  Solo espero que sea un éxito y ser un gran anfitrión,Muy Positivo,Muy Positivo (5 estrellas)
2434,808025,"Litware 16"" White Oscillating Stand Fan E701 Grey","16"" oscillating stand fan","No, no. Ya no te quiero, me declaro soltera a partir de ahora, me has hecho daño  @user",Muy Negativo,Muy Negativo (1 estrella)
2435,808026,"Litware 14"" High Velocity Floor Fan E801 Silver","High velocity volt, 3 Speeds","@user hombre!  Yo siempre y con la gente que me cae bien claro, con los que me caen mal ni agua  Muacc",Muy Positivo,Muy Positivo (5 estrellas)
2436,808027,"Litware 14"" High Velocity Floor Fan E801 White","High velocity volt, 3 Speeds",Plan perfecto para terminar el fin de semana. @user - @user. Después @user - @user,Positivo,Muy Positivo (5 estrellas)
2437,808028,"Litware 14"" High Velocity Floor Fan E801 Black","High velocity volt, 3 Speeds",@user ya ya pero aún así no me convenció,Neutral,Negativo (2 estrellas)
2438,808029,"Litware 14"" High Velocity Floor Fan E801 Pink","High velocity volt, 3 Speeds",Vine a mi casa porque mis papás dicen que los tengo abandonados y me chantajearon con comida pero hoy iba para la playa en la noche,Muy Negativo,Muy Positivo (5 estrellas)
2439,808030,Litware 120mm Blue LED Case Fan E901 Black,"Up to 69.69 CFM, 19dB-A silent application for CPU cooling",Hoy recibí una buena noticia y llevo saltando de la emoción como 30 minutos.,Positivo,Muy Positivo (5 estrellas)
2440,808031,Litware 120mm Blue LED Case Fan E901 White,"Up to 69.69 CFM, 19dB-A silent application for CPU cooling","Mar Negro q se haya caído un avión lleno de músicos, médicos q enviaron para alegrar a la gente en Siria me deja +segura q no existe dios",Muy Negativo,Muy Negativo (1 estrella)
2441,808032,Litware 120mm Blue LED Case Fan E901 blue,"Up to 69.69 CFM, 19dB-A silent application for CPU cooling",@user las etiquetas son necesarias. Lxs locxs molamos. Si no quieres etiquetas no molas  LOOOOCAAAA jajajajaj,Neutral,Muy Negativo (1 estrella)
2442,808033,Litware 120mm Blue LED Case Fan E901 Grey,"Up to 69.69 CFM, 19dB-A silent application for CPU cooling","¡Venga va! A ver si consigo la versión física, que vista en tienda parece magnífica  @user  #DinastíaDelDienteDeLeón",Muy Positivo,Muy Positivo (5 estrellas)
2443,808034,Litware 80mm Dual Ball Bearing Case Fan E1001 Black,"Higher air flow to enhance cooling performance, silent operation for case cooling",¿por qué os empeñáis en que no soy española?,Muy Negativo,Muy Negativo (1 estrella)
2444,808035,Litware 80mm Dual Ball Bearing Case Fan E1001 White,"Higher air flow to enhance cooling performance, silent operation for case cooling","Amiguitos, yo siempre hablo/escribo de la misma forma, soy bastante cariñoso ... no te estoy gileando, ni quiero algo contigo, sí?",Muy Positivo,Muy Positivo (5 estrellas)
2445,808036,Litware 80mm Dual Ball Bearing Case Fan E1001 Green,"Higher air flow to enhance cooling performance, silent operation for case cooling","Me vengo dando cuenta que sí... el gordo navideño y yo siempre sí... regalo de santa, por despistada? marchamo y regalos pagados #gracias",Positivo,Muy Negativo (1 estrella)
2446,808037,Litware 80mm Dual Ball Bearing Case Fan E1001 Pink,"Higher air flow to enhance cooling performance, silent operation for case cooling",Hay videos que no se envían porque no tengo espacio en el móvil así que lo siento,Negativo,Muy Negativo (1 estrella)
2447,808038,Litware 92mm DBB Case Fan E1101 Silver,"92mm DBB case fan, 86.2 x 66.5 x 15.8 inches, 5.6 ounces","@user @user El tuit va acompañado de una foto que quiere decir lo contrario, SÍ es sarcasmo",Muy Negativo,Muy Negativo (1 estrella)
2448,808039,Litware 92mm DBB Case Fan E1101 Black,"92mm DBB case fan, 86.2 x 66.5 x 15.8 inches, 5.6 ounces","@user ay tan lindo amigo!! Gracias. Espero que jueguen con rencor, porque se hacen imparables cuando están resentidos",Muy Positivo,Muy Positivo (5 estrellas)
2449,808040,Litware 92mm DBB Case Fan E1101 White,"92mm DBB case fan, 86.2 x 66.5 x 15.8 inches, 5.6 ounces",Tan triste mi vida que me hablan en Snapchat solo para decirme que mis animales son lindos,Muy Positivo,Muy Negativo (1 estrella)
2450,808041,Litware 92mm DBB Case Fan E1101 Grey,"92mm DBB case fan, 86.2 x 66.5 x 15.8 inches, 5.6 ounces","A recuperar la resistencia física, hola Viernes sangriento!!!",Muy Positivo,Muy Positivo (5 estrellas)
2451,808042,Litware Desktop Wind Tower Oscillating Fan E1201 Brown,"Desktop fan with front-mounted electronic controls, 3 speeds",@user siiiiii tío  el viernes te invito a una litro jurao,Muy Negativo,Muy Negativo (1 estrella)
2452,808043,Litware Desktop Wind Tower Oscillating Fan E1201 Purple,"Desktop fan with front-mounted electronic controls, 3 speeds",@user jajaja ya ves teneis algo encontra mia  espero que la proxima vez sea de vuestro equipo 😂,Positivo,Muy Negativo (1 estrella)
2453,808044,Litware Desktop Wind Tower Oscillating Fan E1201 Black,"Desktop fan with front-mounted electronic controls, 3 speeds",@user Y suuuuper diferente a sus trabajos anteriores! Tengo que comprarlo tho porque no esta disponible en apple music,Positivo,Muy Negativo (1 estrella)
2454,808045,Litware Desktop Wind Tower Oscillating Fan E1201 White,"Desktop fan with front-mounted electronic controls, 3 speeds",#DiaDelVideojuegoHC por todas esas grandes tardes que nos hacen pasar y las que pasaran!,Muy Positivo,Muy Positivo (5 estrellas)
2455,808046,Litware USB Foam Fan E1301 Pink,"Cold alternative to an under desk fan, child-safe blades",@user Ya no es por bonito o por feo sino porque es un animal con sentimientos tía es horrible,Neutral,Muy Negativo (1 estrella)
2456,808047,Litware USB Foam Fan E1301 White,"Cold alternative to an under desk fan, child-safe blades",@user Feliz Año Bella! Las mejores vibras,Muy Positivo,Muy Positivo (5 estrellas)
2457,808048,Litware USB Foam Fan E1301 Black,"Cold alternative to an under desk fan, child-safe blades",@user esa vidilla universitaria que tiene lo hace muy especial y que bien se come cerquita de los canales  #SaltaconHolanda,Positivo,Muy Positivo (5 estrellas)
2458,808049,Litware USB Foam Fan E1301 Red,"Cold alternative to an under desk fan, child-safe blades",@user pero es muy trillado,Muy Negativo,Neutral (3 estrellas)
2459,808050,Litware 180 CFM Vertical Discharge Fan X450 Red,Powerful and efficient vertical discharge fan,@user tenía pensado cuando me quitase este ponerme unos de kpop  a la siguiente contigo lindo,Negativo,Muy Negativo (1 estrella)
2460,808051,Litware 180 CFM Vertical Discharge Fan X450 Black,Powerful and efficient vertical discharge fan,"Acabo de comprobar en Linkedin  si eras mi antiguo alumno, tengo un gran recuerdo @user  Te deseo lo mejor @user",Positivo,Muy Positivo (5 estrellas)
2461,808052,Litware 180 CFM Vertical Discharge Fan X450 White,Powerful and efficient vertical discharge fan,Me he puesto nervioso por la función de mañana. Y si me da una laguna mental??? Mierda ahora no puedo dejar de pensar en eso,Muy Negativo,Negativo (2 estrellas)
2462,808053,Litware 180 CFM Vertical Discharge Fan X450 Blue,Powerful and efficient vertical discharge fan,@user @user Ufff... hay una discusión enorme sobre esto. La Clínica Mayo dejó de hacerlas por años por los resultados,Muy Negativo,Negativo (2 estrellas)
2463,808054,Litware USB Durable Desk Soft Fan E1401 White,"3 speed settings, separate oscillation control provides oscillation option to increase air circulation","No se cuantas veces la abre escuchado, pero no me canso de hacerlo y es que suena tan bien juntos @user  http",Neutral,Positivo (4 estrellas)
2464,808055,Litware USB Durable Desk Soft Fan E1401 Black,"3 speed settings, separate oscillation control provides oscillation option to increase air circulation","@user hoy me he gastado 90 euros en LEGOs, así que los maletines van regular",Negativo,Muy Negativo (1 estrella)
2465,808056,Litware USB Durable Desk Soft Fan E1401 Blue,"3 speed settings, separate oscillation control provides oscillation option to increase air circulation","@user llévame a tu casa, la otra vez blastoise y hoy dragonite",Muy Negativo,Muy Negativo (1 estrella)
2466,808057,Litware USB Durable Desk Soft Fan E1401 Red,"3 speed settings, separate oscillation control provides oscillation option to increase air circulation",@user retiro mi calificativo ofensivo hacia @user Su gesto de hoy me ha parecido valiente...  contamos con todos.,Muy Positivo,Muy Negativo (1 estrella)
2467,808058,Litware 80mm LED Dual PCI Slot Fan E1501 Yellow,"7.2 X 4.8 x 1.7 inches, 8 ounces  ",Hay algunos shojos de comedia romántica que me gustaría que se centraran un poco más en lo romántico,Positivo,Neutral (3 estrellas)
2468,808059,Litware 80mm LED Dual PCI Slot Fan E1501 Red,"7.2 X 4.8 x 1.7 inches, 8 ounces  ",Yo ya estoy con gripe y ni me he mojado,Muy Negativo,Muy Negativo (1 estrella)
2469,808060,Litware 80mm LED Dual PCI Slot Fan E1501 Blue,"7.2 X 4.8 x 1.7 inches, 8 ounces  ",@user el pueblo crema está feliz con lo de Vento!,Muy Positivo,Muy Positivo (5 estrellas)
2470,808061,Litware 80mm LED Dual PCI Slot Fan E1501 Pink,"7.2 X 4.8 x 1.7 inches, 8 ounces  ",hoy ha sido ver a un perro muerto en el anden izdo. de la autopista huelva-sevilla y entrarme toda la impotencia del mundo,Muy Negativo,Muy Negativo (1 estrella)
2471,808062,Litware 80mm LED Dual PCI Slot Fan E1501 White,"7.2 X 4.8 x 1.7 inches, 8 ounces  ",@user @user A mi Movistar me llama para preguntarme si estoy satisfecho con mi servicio y si hay algo que puede hacer por mi,Neutral,Neutral (3 estrellas)
2472,808063,Litware 20'' Weather-Shield Performance Box Fan E1601 Orange,"20'' box fan with 3 whisper-quiet, energy-efficient speeds  ","@user Buen artículo Carlos , se va Lucas pero tampoco hay que dramatizar , casi me haces llorar",Neutral,Neutral (3 estrellas)
2473,808064,Litware 20'' Weather-Shield Performance Box Fan E1601 Yellow,"20'' box fan with 3 whisper-quiet, energy-efficient speeds  ","Vanessa ¿donde estas? te extraño mucho, ya va ser navidad y necesito verte",Muy Positivo,Muy Positivo (5 estrellas)
2474,808065,Litware 20'' Weather-Shield Performance Box Fan E1601 White,"20'' box fan with 3 whisper-quiet, energy-efficient speeds  ","1 y 2 correctas. 3, ni una.   http",Neutral,Neutral (3 estrellas)
2475,808066,Litware 20'' Weather-Shield Performance Box Fan E1601 Black,"20'' box fan with 3 whisper-quiet, energy-efficient speeds  ",Ustedes siempre han sido lo más bonito de mi año. Anita y Amaya,Muy Positivo,Muy Positivo (5 estrellas)
2476,808067,Litware 17'' Oscillating Pedestal Fan M125 Pink,17-inch oscillating pedestal fan with all-metal construction,"@user @user al menos ya va ir preso, el tuyo sigue feliz de la vida plagiando textos",Positivo,Muy Negativo (1 estrella)
2477,808068,Litware 17'' Oscillating Pedestal Fan M125 Yellow,17-inch oscillating pedestal fan with all-metal construction,@user @user @user convenciendo a mi hija mayor para verlo,Positivo,Muy Positivo (5 estrellas)
2478,808069,Litware 17'' Oscillating Pedestal Fan M125 Blue,17-inch oscillating pedestal fan with all-metal construction,@user Bonito rincón  ¡Qué ganas de ver la nueva web!,Positivo,Muy Positivo (5 estrellas)
2479,808070,Litware 17'' Oscillating Pedestal Fan M125 White,17-inch oscillating pedestal fan with all-metal construction,@user yo no soy normal,Neutral,Muy Negativo (1 estrella)
2480,808071,Litware 18'' Oscillating Pedestal Fan M135 Pink,18-inch oscillating pedestal fan with all-metal construction,"@user es que ya no era necesario llamar ,ya sabiamos lo que espera ,la proxima sera",Neutral,Neutral (3 estrellas)
2481,808072,Litware 18'' Oscillating Pedestal Fan M135 Yellow,18-inch oscillating pedestal fan with all-metal construction,Que agusto se queda una después del Circuito termolúdico de  @user,Muy Negativo,Muy Negativo (1 estrella)
2482,808073,Litware 18'' Oscillating Pedestal Fan M135 Blue,18-inch oscillating pedestal fan with all-metal construction,Tenía más de un año de no usar Premiere Pro y no era tan mala editando... ahora lo olvidé todo,Negativo,Muy Negativo (1 estrella)
2483,808074,Litware 18'' Oscillating Pedestal Fan M135 White,18-inch oscillating pedestal fan with all-metal construction,Cuando te enamoras de cada flaca que pasa. Chimbote era chevere pero no me quirro ir de trujillo.,Negativo,Muy Negativo (1 estrella)
2484,808075,Litware 18'' Oscillating Pedestal Fan M145 Pink,19-inch oscillating pedestal fan with all-metal construction,"Pues ya es oficial, curro nuevo y mejor",Muy Positivo,Muy Positivo (5 estrellas)
2485,808076,Litware 18'' Oscillating Pedestal Fan M145 Yellow,19-inch oscillating pedestal fan with all-metal construction,Tengo dos orzuelos enquistados en el ojo izquierdo y me hacen la cara muy asimétrica. Me veo raro,Positivo,Negativo (2 estrellas)
2486,808077,Litware 18'' Oscillating Pedestal Fan M145 Blue,19-inch oscillating pedestal fan with all-metal construction,"@user lo de la comida le quita toda la parte negativa entonces, buenaso. Gracias!! Que te vaya super bien en tus finales",Positivo,Muy Negativo (1 estrella)
2487,808078,Litware 18'' Oscillating Pedestal Fan M145 White,19-inch oscillating pedestal fan with all-metal construction,"@user perfecto!  Nada mejor que incitar a lectura. Ya me contarás que tal, es mágico. De esos para ""niños"" que no son para niños",Muy Positivo,Muy Positivo (5 estrellas)
2488,505001,Contoso Rubberized Skin BlackBerry E100 Black,Rubberized exterior provides a sure grip on the device and helps protect it if dropped or bumped,@user Lo mejor son sus amiguitos defendiéndole diciéndome a mí que pase página cuando es él el que no me deja en paz,Positivo,Muy Positivo (5 estrellas)
2489,505002,Contoso Rubberized Skin BlackBerry E100 Silver,Rubberized exterior provides a sure grip on the device and helps protect it if dropped or bumped,@user Ely todo bien? no se nada de ti u.u tengo número nuevo!,Muy Negativo,Muy Negativo (1 estrella)
2490,505003,Contoso Rubberized Skin BlackBerry E100 White,Rubberized exterior provides a sure grip on the device and helps protect it if dropped or bumped,"Si necesitáis un hater profesional de lo que sea, podéis llamar a @user",Neutral,Muy Negativo (1 estrella)
2491,505004,Cigarette Lighter Adapter for Contoso Phones E110 Black,Packs the power you need to charge your mobile phone while driving  Fits most in-vehicle power port sockets,@user porque mi equipo G8 se calienta demasiado y la bateria se baja rápido,Negativo,Negativo (2 estrellas)
2492,505005,Cigarette Lighter Adapter for Contoso Phones E110 White,Packs the power you need to charge your mobile phone while driving  Fits most in-vehicle power port sockets,"@user Un chivi que hace videos y es más tocándose el cabello que video haciendo ""algo divertido o entretenido"".",Positivo,Positivo (4 estrellas)
2493,505006,Cigarette Lighter Adapter for Contoso Phones E110 Red,Packs the power you need to charge your mobile phone while driving  Fits most in-vehicle power port sockets,"@user te tienes que hacer amiga de peluqueros que no estén locos y fuera, tienes don de gentes coñe",Positivo,Muy Negativo (1 estrella)
2494,505007,Reusable Phone Screen Protector E120,Expect better quality than any other screen protector. Shields and protects agaisnt unwanted scratches,"No entiendo, hasta hace unos días te hablaba lindo, fresh y de la naaada cambian, y tú no hiciste nada #Kheeeeeeeeeé #SacandoConclusiones",Muy Positivo,Muy Negativo (1 estrella)
2495,505008,Headphone Adapter for Contoso Phone E130 Black,Allows the adapter to be used with stereo headphones that also have integrated microphone functionality,@user vamos a juntos en concierto?,Neutral,Muy Negativo (1 estrella)
